age,revenu_mensuel,revolving_utilization,debt_ratio,nb_open_credit_lines,nb_real_estate_loans,nb_dependents,nb_30_59_days_late,nb_60_89_days_late,nb_90_days_late,SeriousDlqin2yrs
42,4259.0,0.135,0.151,1,0,4,0,0,0,0
36,4136.0,0.379,0.219,5,0,1,0,0,0,0
44,2500.0,0.033,0.334,3,0,1,1,0,0,0
53,4726.0,0.146,0.331,4,0,2,1,0,0,1
35,2500.0,0.124,0.041,1,0,2,0,0,0,0
35,2712.0,0.212,0.39,3,0,1,0,0,1,1
53,2500.0,0.259,0.174,5,0,4,0,0,0,0
45,7342.0,0.205,0.355,5,2,0,0,2,0,1
33,3281.0,0.237,0.217,3,0,1,1,0,0,0
43,9654.0,0.087,0.517,1,0,0,0,0,0,1
33,5226.0,0.11,0.408,3,0,0,0,0,0,0
33,4454.0,0.156,0.643,3,0,0,0,0,0,0
40,2797.0,0.292,0.168,5,0,1,2,0,0,0
20,2500.0,0.339,0.209,5,0,2,0,0,1,1
20,4607.0,0.484,0.517,1,1,1,0,0,0,0
32,3526.0,0.301,0.303,2,1,3,1,0,0,0
27,2500.0,0.147,0.441,6,0,1,0,0,0,0
41,2500.0,0.396,0.216,5,0,2,1,1,0,1
28,2500.0,0.032,0.064,4,0,4,0,1,1,0
23,8262.0,0.328,0.199,5,0,2,0,0,0,0
52,9857.0,0.512,0.477,2,0,3,0,1,0,1
35,3993.0,0.689,0.203,1,0,1,1,0,0,0
38,3893.0,0.204,0.131,5,0,1,0,1,0,0
23,3130.0,0.596,0.153,2,0,1,0,1,0,0
32,2500.0,0.262,0.124,2,0,0,0,0,0,0
39,6760.0,0.269,0.128,3,1,1,0,0,0,0
26,8460.0,0.361,0.228,2,0,2,1,0,0,0
41,2500.0,0.113,0.242,4,0,0,0,0,1,0
31,3508.0,0.319,0.205,5,0,0,0,0,0,0
35,2974.0,0.241,0.396,6,0,0,0,0,0,0
31,3014.0,0.052,0.217,4,0,1,1,1,0,0
56,6208.0,0.588,0.533,3,1,1,0,0,0,0
37,2500.0,0.548,0.569,4,0,1,0,0,0,0
27,4491.0,0.334,0.292,4,0,5,0,1,0,0
46,5053.0,0.432,0.178,7,1,4,0,0,0,0
25,3415.0,0.369,0.066,3,0,2,1,0,0,1
40,5442.0,0.056,0.241,5,0,1,1,0,0,1
20,3891.0,0.565,0.409,2,2,1,0,0,0,1
24,6296.0,0.352,0.617,5,0,1,0,0,0,0
39,2500.0,0.303,0.334,5,0,1,0,1,1,1
45,3112.0,0.081,0.337,4,0,5,1,0,0,0
39,3525.0,0.041,0.105,4,0,2,1,0,0,0
36,2500.0,0.176,0.434,4,0,2,0,0,0,0
34,2500.0,0.536,0.532,1,1,2,0,0,0,0
23,2525.0,0.5,0.507,5,0,3,0,1,0,1
30,5579.0,0.211,0.402,3,0,2,0,0,1,1
33,2649.0,0.161,0.241,3,0,1,0,0,0,0
48,2520.0,0.258,0.369,1,0,0,0,0,0,0
41,5260.0,0.389,0.296,5,0,3,1,0,2,1
20,2500.0,0.065,0.409,2,0,1,0,0,0,0
41,2500.0,0.52,0.305,5,1,2,0,0,0,0
34,3094.0,0.215,0.487,1,0,1,0,0,0,0
31,2500.0,0.257,0.168,4,2,1,0,0,0,0
44,2500.0,0.265,0.656,5,1,1,0,0,0,0
48,4713.0,0.514,0.331,3,0,0,0,0,0,0
47,5400.0,0.409,0.209,3,0,2,0,0,0,0
29,5193.0,0.42,0.13,4,0,1,1,0,0,0
34,5997.0,0.151,0.312,5,0,1,0,0,0,0
41,6365.0,0.03,0.366,5,0,0,0,0,0,0
47,2500.0,0.286,0.358,5,0,2,0,0,0,0
33,4459.0,0.145,0.711,4,1,1,0,0,0,1
